id_phd	date_defense	spec	nb_jurys
1	2005	Sciences de l'Antiquité	5
2	2004	Histoire ancienne et archéologie	6
3	2007	Archéologie	6
4	2003	Préhistoire	6
5	2004	Sciences de l'Antiquité	6
6	2007	Sciences de l'Antiquité	5
7	2008	Sciences de l'Antiquité	5
8	2006	Sciences de l'Antiquité	6
9	2004	Anthropologie	6
10	2005	Histoire de l'Art	5
11	2004	Anthropologie/Archéologie Préhistorique	6
12	2005		5
13	2006		5
14	2007	Anthropologie sociale et Préhistoire	7
15	2004	Sciences de l'Antiquité/Sciences de l'Information et de la Communication	6
16	2008	Sciences de l'Antiquité	6
17	2006		5
18	2006	Sciences de l'Antiquité	6
19	2008	Histoire de l'Art	4
20	2006	Sciences de l'Antiquité	6
21	2007		6
22	2008	Anthropologie sociale et historique	6

