id_phd	id_jury	role_jury
12	60	NA
15	60	NA
15	64	NA
4	12	Directeur de thèse
9	12	Directeur de thèse
11	12	Directeur de thèse
14	12	Co-directeur de thèse
15	12	NA
22	12	Directeur de thèse
13	79	NA
12	61	NA
9	53	Rapporteur
17	29	NA
21	29	NA
10	57	Rapporteur
20	76	Rapporteur
11	58	NA
13	80	NA
14	13	Examinateur
6	72	Président
19	25	NA
3	1	NA
7	8	Rapporteur
17	68	NA
16	20	NA
8	51	NA
16	19	Co-directeur de thèse
4	43	NA
9	43	NA
1	84	NA
13	77	Directeur de thèse
20	73	NA
1	82	Rapporteur
12	62	NA
1	83	Rapporteur
18	70	NA
8	21	NA
12	21	NA
16	21	NA
20	21	NA
19	27	NA
2	39	NA
15	65	NA
2	40	NA
6	40	NA
8	40	NA
5	47	NA
20	74	NA
9	15	NA
14	15	Rapporteur
4	33	NA
22	33	NA
14	16	Co-directeur de thèse
9	34	NA
22	34	NA
18	71	NA
9	54	Rapporteur
3	2	NA
3	3	NA
11	3	NA
17	28	NA
18	28	NA
21	28	NA
5	48	NA
5	49	Co-directeur de thèse
8	49	NA
19	26	NA
15	66	NA
3	4	NA
14	14	Rapporteur
11	59	NA
20	75	Rapporteur
4	44	NA
22	35	Rapporteur
7	9	NA
2	10	NA
6	10	NA
7	10	NA
3	5	Directeur de thèse
21	30	NA
1	85	NA
10	55	Président
18	31	NA
21	31	NA
21	32	NA
12	63	NA
16	22	NA
16	23	NA
1	7	Directeur de thèse
5	7	Co-directeur de thèse
7	7	Directeur de thèse
8	7	Directeur de thèse
15	7	Directeur de thèse
16	7	Co-directeur de thèse
17	7	Directeur de thèse
18	7	Directeur de thèse
20	7	Directeur de thèse
21	7	Directeur de thèse
3	6	NA
10	56	Rapporteur
15	67	NA
5	24	NA
10	24	Co-directeur de thèse
19	24	Directeur de thèse
5	50	NA
8	52	NA
18	52	NA
2	41	NA
13	81	NA
2	38	Directeur de thèse
6	38	Directeur de thèse
10	38	Co-directeur de thèse
12	38	Directeur de thèse
14	17	Examinateur
4	45	NA
13	78	Président
2	42	NA
6	42	NA
4	46	NA
11	36	NA
22	36	NA
14	18	Président
11	37	NA
22	37	Rapporteur
17	69	NA
7	11	Rapporteur
