id_jury	gender	profession	nb_publications	date_first_publi
1	M	Directeur de recherche	74	1982
2	M	Professeur	50	1981
3	M	Professeur	500	1956
4	M	Professeur	33	1988
5	F	Directrice de recherche	82	1981
6	F	Professeur	145	1971
7	M	Professeur	113	1969
8	M	Directeur de recherche	49	1980
9	M	Directeur de recherche	84	1973
10	M	Professeur	10	1990
11	M	Professeur	94	1981
12	M	Professeur	121	1971
13	M	Professeur	66	1993
14	M	Professeur	203	1979
15	M	Professeur	69	1970
16	M	Professeur	117	1979
17	M	Directeur de recherche	146	1964
18	M	Maitre de conférence	133	1989
19	F	Chargé de recherche	49	1983
20	M	Directeur de recherche	268	1971
21	M	Professeur	138	1975
22	M	Maitre de conférence	42	1971
23	M	Directeur de recherche	25	1981
24	F	Professeur	23	1996
25	F	Enseignant-Chercheur	0	
26	M	Professeur	17	1972
27	M	Professeur	85	1967
28	F	Professeur	64	1973
29	M	Professeur	93	1995
30	M	Maitre de conférence	73	1992
31	M	Professeur	28	1981
32	M	Maitre de conférence	59	1990
33	F	Directeur de recherche	75	1989
34	M	Directeur de recherche	113	1989
35	M	Directeur de recherche	149	1980
36	M	Maitre de conférence	97	1987
37	M	Directeur de recherche	357	1971
38	M	Professeur	79	1981
39	M	Professeur	148	1970
40	M	Directeur de recherche	252	1978
41	M	Directeur de recherche	183	1977
42	M	Enseignant-Chercheur	95	1973
43	M	Conservateur Général du patrimoine	428	1964
44	M	Chargé de recherche	72	1982
45	M	Professeur	52	1977
46	M	Chercheur	71	1986
47	M	Professeur	260	1978
48	M	Professeur	26	1982
49	M	Directeur de recherche	210	1973
50	M	Retraité	21	1980
51	M	Maitre de conférence	33	1997
52	M	Professeur	106	1974
53	M	Directeur de recherche	264	1964
54	M	Professeur	70	1980
55	M	Conservateur Général du patrimoine	319	1966
56	M	Directeur de recherche	68	1987
57	M	Maitre de conférence	9	1987
58	M	Directeur de recherche	215	1980
59	M	Professeur	151	1977
60	M	Directeur de recherche	202	1971
61	M	Directeur de recherche	157	1971
62	M	Professeur	17	1970
63	M	Directeur de recherche	67	1987
64	M	Professeur	0	
65	M	Directeur Institut National du patrimoine	8	1993
66	M	Directeur de recherche	80	1966
67	M	Chercheur	0	
68	M	Retraité	43	1978
69	M	Professeur	36	1993
70	M	Conservateur régional	21	1984
71	M	Professeur	8	1982
72	M	Professeur	78	1974
73	M	Professeur	5	2004
74	M	Directeur de laboratoire	70	1983
75	M	Professeur	171	1980
76	M	Professeur	4	1997
77	M	Directeur de recherche	18	1980
78	M	Professeur	41	1980
79	M	Conservateur Général du patrimoine	62	1983
80	M	Professeur	5	1986
81	F	Chargé de recherche	29	1987
82	M	Professeur	20	1973
83	F	Professeur	33	1973
84	M	Professeur	24	1994
85	F	Professeur	13	1992
