id_publi	id_jury
1	60
1	61
2	60
2	61
2	63
3	60
3	61
4	60
4	61
5	60
5	61
6	60
6	61
7	60
7	61
8	12
8	13
8	36
9	12
9	13
10	12
10	3
11	12
11	14
12	12
12	43
12	15
12	34
12	14
12	45
13	12
13	33
14	12
14	36
14	37
15	12
15	33
16	12
16	14
16	45
16	36
16	37
17	12
17	45
18	12
18	14
18	45
19	12
19	14
19	45
19	36
20	12
20	36
21	12
21	14
22	12
22	3
22	37
23	12
23	36
24	12
24	36
25	12
25	36
26	12
26	3
26	37
27	12
27	36
28	12
28	37
29	12
29	3
29	37
30	12
30	3
30	37
31	12
31	3
32	12
32	36
33	12
33	37
34	12
34	3
35	12
35	3
35	37
36	12
36	37
37	12
37	3
37	37
38	12
38	3
38	37
39	12
39	37
40	12
40	3
41	12
41	3
42	12
42	3
43	12
43	3
43	37
44	12
44	37
45	12
45	3
45	37
46	12
46	3
47	12
47	3
48	12
48	3
48	37
49	12
49	3
49	37
50	61
50	38
51	61
51	38
52	76
52	73
52	21
53	76
53	21
54	76
54	19
54	21
55	58
55	3
56	58
56	37
57	58
57	3
58	58
58	3
59	58
59	3
60	58
60	3
60	59
61	58
61	3
62	58
62	37
63	13
63	17
64	13
65	72
65	42
66	1
66	3
67	8
68	68
68	69
69	19
69	21
69	7
70	19
70	21
71	19
71	21
71	7
71	38
72	43
72	46
73	43
73	33
73	46
74	43
74	33
74	46
75	43
75	33
75	46
76	43
76	33
76	46
77	43
77	34
78	43
78	34
80	43
80	33
80	46
81	43
81	33
81	46
82	43
82	15
83	43
83	34
84	43
84	15
85	73
86	73
86	21
86	74
87	73
87	7
88	82
88	83
89	21
89	7
90	21
90	63
91	21
92	21
92	7
93	21
93	7
94	21
94	7
95	21
95	7
96	21
96	38
97	21
97	7
98	21
98	7
98	38
99	21
99	7
100	21
100	38
101	39
101	41
103	39
103	41
104	39
104	40
105	39
105	40
105	41
106	39
106	40
106	41
107	39
107	41
108	39
108	40
108	41
109	39
109	41
110	39
110	41
111	39
111	40
112	39
112	41
113	39
113	40
115	39
115	41
116	39
116	41
117	39
117	41
118	39
118	41
119	39
119	41
120	39
120	41
121	39
121	41
122	39
122	41
123	39
123	41
124	39
124	40
125	39
125	40
126	39
126	40
126	41
127	39
127	40
128	65
128	7
129	40
129	41
130	40
130	41
131	47
131	49
132	47
132	49
133	47
133	49
134	47
134	49
135	47
135	49
136	47
136	49
137	47
137	49
138	47
138	49
139	47
139	49
140	47
140	49
141	47
141	49
142	47
142	49
143	15
143	54
144	15
144	54
145	15
145	54
146	15
146	54
147	33
147	44
147	45
147	46
148	33
148	44
149	33
149	45
150	33
150	45
150	46
151	33
151	45
151	46
152	33
152	45
152	46
153	33
153	45
153	46
154	33
154	45
154	46
155	33
155	45
155	46
156	33
156	45
156	46
157	33
157	45
157	46
158	33
158	45
158	46
159	33
159	45
159	46
160	33
160	46
161	33
161	46
162	33
162	46
163	33
163	46
164	33
164	46
165	33
165	46
166	33
166	46
167	33
167	46
168	33
168	46
169	33
169	46
170	33
170	46
171	33
171	46
172	33
172	46
173	33
173	46
174	33
174	46
175	33
175	46
176	33
176	46
177	33
177	46
178	33
178	46
179	33
179	46
180	33
180	46
181	33
181	46
182	33
182	46
183	43
183	34
184	43
184	34
185	2
185	3
185	5
186	28
186	7
187	28
187	7
188	49
188	7
189	4
189	5
190	4
190	5
191	4
191	5
193	4
193	5
194	3
194	6
195	3
195	6
196	3
196	36
196	37
197	3
197	37
198	3
198	37
199	3
199	37
200	3
200	37
201	3
201	37
202	3
202	37
203	3
203	37
204	3
204	37
205	3
205	37
206	3
206	37
207	3
207	37
208	3
208	37
209	3
209	37
210	3
210	37
211	3
211	37
212	3
212	37
213	3
213	37
214	3
214	37
215	3
215	37
216	3
216	37
217	3
217	37
218	3
218	37
219	3
219	37
220	3
220	37
221	3
221	37
222	3
222	37
223	3
223	37
224	3
224	37
225	3
225	37
226	3
226	37
227	3
227	37
228	3
228	37
229	3
229	37
230	3
230	37
231	3
231	37
232	3
232	37
233	3
233	37
234	3
234	37
235	3
235	37
236	3
236	37
237	3
237	37
238	3
238	37
239	3
239	37
240	3
240	37
241	3
241	37
242	3
242	37
243	3
243	37
244	3
244	37
245	3
245	37
246	3
246	37
247	3
247	37
248	3
248	37
249	3
249	37
250	3
250	37
251	3
251	37
252	3
252	37
253	3
253	37
254	3
254	37
255	14
255	18
256	59
256	37
257	55
257	56
258	24
258	50
259	24
260	41
260	38
261	38
261	42
262	45
262	46
263	36
263	37
264	36
264	37
265	36
265	37
266	36
266	37
267	36
267	37
268	36
268	37
269	36
269	37
270	36
270	37
271	36
271	37
272	36
272	37
273	36
273	37
274	36
274	37
275	36
275	37
276	36
276	37
277	36
277	37
278	36
278	37
279	36
279	37
280	36
280	37
281	36
281	37
282	36
282	37
283	36
283	37
284	36
284	37
285	36
285	37
286	36
286	37
287	36
287	37
288	36
288	37
289	36
289	37
290	36
290	37
291	36
291	37
292	36
292	37
293	36
293	37
294	36
294	37
295	36
295	37
296	36
296	37
297	36
297	37
298	36
298	37
299	36
299	37
300	36
300	37
301	36
301	37
302	36
302	37
303	36
303	37
304	36
304	37
305	36
305	37
306	36
306	37
307	12
307	36
307	37
308	41
309	41
310	5
311	5
312	5
313	4
313	5
314	5
315	5
316	4
316	5
317	5
318	47
319	38
320	37
321	36
322	36
323	36
324	36
325	63
326	63
328	63
329	18
330	17
331	16
332	16
333	7
334	58
334	37
335	58
335	37
336	58
336	37
337	58
337	37
338	58
338	37
339	58
339	37
340	58
340	37
341	58
341	37
342	58
342	37
343	58
343	37
344	58
344	37
345	58
345	37
346	58
346	37
347	58
347	37
348	58
348	37
349	58
349	37
350	58
350	37
351	58
351	37
352	58
352	37
353	58
353	37
354	58
354	37
355	58
355	37
356	58
356	37
357	58
357	37
358	58
358	37
359	58
359	37
360	58
360	37
361	58
361	37
362	58
362	37
363	58
363	37
364	58
364	37
365	58
365	37
366	58
366	37
367	58
367	37
368	58
368	37
369	58
369	37
370	58
370	37
371	58
371	37
372	58
372	37
373	58
373	37
