id_publi	date_publi	nb_authors
1	2010	3
2	2000	47
3	1995	5
4	1993	20
5	1986	3
6	1985	3
7	1985	33
8	2010	14
9	2010	2
10	2008	16
11	2005	2
12	2001	14
13	2000	2
14	1999	4
15	1998	3
16	1996	56
17	1998	3
18	1995	39
19	1994	49
20	1994	8
21	1993	35
22	1993	11
23	1992	2
24	1991	8
25	1991	8
26	1989	6
27	1989	2
28	1987	2
29	1987	7
30	1987	7
31	1987	6
32	1987	2
33	1986	6
34	1986	10
35	1986	3
36	1986	4
37	1986	4
38	1984	3
39	1984	2
40	1984	4
41	1984	4
42	1984	20
43	1983	7
44	1983	3
45	1980	4
46	1980	3
47	1980	6
48	1979	4
49	1979	3
50	2004	14
51	2004	14
52	2007	9
53	2006	7
54	1997	9
55	2010	5
56	2007	4
57	2006	7
58	2004	12
59	1999	2
60	1999	6
61	1999	2
62	1991	6
63	2006	2
64	2005	5
65	1990	8
66	2007	19
67	1998	3
68	2001	2
69	2006	5
70	2005	3
71	1993	14
72	2010	4
73	2009	7
74	2009	10
75	2009	10
76	2009	10
77	2007	2
78	2007	14
80	2001	7
81	2001	7
82	2001	11
83	1997	30
84	1993	6
85	2009	3
86	2004	8
87	2004	3
88	1973	6
89		6
90	2001	2
91	2000	7
92	1990	4
93	1990	3
94	1990	3
95	1988	2
96	1987	3
97	1987	3
98	1982	24
99	1981	3
100	1976	2
101		2
103	2006	9
104	2003	3
105	2003	8
106	2000	3
107	1999	4
108	1998	9
109	1996	3
110	1995	4
111	1994	2
112	1994	4
113	1994	2
115	1994	4
116	1993	3
117	1993	2
118	1993	5
119	1992	3
120	1991	3
121	1990	8
122	1989	3
123	1988	2
124	1988	3
125	1987	3
126	1985	3
127	1983	4
128	2005	4
129	1996	6
130	1987	9
131	1996	4
132	1996	3
133	1989	6
134	1986	4
135	1986	4
136	1986	3
137	1985	3
138	1985	4
139		4
140		4
141		4
142		4
143	1990	8
144	1989	8
145	1987	6
146	1987	3
147	2003	12
148	1999	13
149	2008	2
150	2008	4
151	2008	4
152	2008	4
153	2007	5
154	2007	5
155	2007	4
156	2005	3
157	2004	6
158	1996	6
159	1996	6
160	2011	2
161	2011	2
162	2010	3
163	2009	4
164	2009	4
165	2009	10
166	2009	3
167	2007	2
168	2006	2
169	2005	2
170	2005	2
171	2005	2
172	2004	2
173	2004	2
174	2003	10
175	2003	5
176	2001	6
177	2001	2
178	2001	2
179	2000	2
180	1999	2
181	1996	3
182	1993	4
183	2004	9
184	1984	10
185	2003	3
186	1995	3
187	1987	3
188	2004	3
189	2009	8
190	2008	4
191	2001	3
193	1988	2
194	1989	7
195	1989	31
196	2000	69
197	2008	5
198	2007	2
199	2006	40
200	2006	25
201	2003	3
202	1999	2
203	1998	2
204	1996	40
205	1995	24
206	1995	2
207	1995	4
208	1994	3
209	1994	27
210	1994	2
211	1993	3
212	1993	22
213	1992	23
214	1990	5
215	1990	2
216	1989	3
217	1989	19
218	1989	3
219	1988	4
220	1986	4
221	1986	17
222	1986	4
223	1986	4
224	1986	4
225	1986	6
226	1986	6
227	1986	4
228	1986	4
229	1986	5
230	1982	4
231	1981	3
232	1981	5
233	1980	4
234	1980	3
235	1980	3
236	1980	4
237	1980	3
238	1979	3
239	1979	3
240	1979	2
241	1979	2
242	1979	3
243	1977	3
244	1976	3
245	1976	2
246	1976	3
247	1975	2
248	1974	8
249	1974	4
250	1974	3
251	1974	5
252	1973	6
253	1973	2
254	1972	3
255	2002	4
256	2009	8
257	1996	5
258	2006	3
259	1996	4
260	2009	4
261	1987	12
262	1998	2
263		4
264		7
265		9
266		4
267		4
268		5
269		4
270		4
271		4
272		4
273		4
274		4
275		3
276		4
277		4
278		4
279		5
280		5
281		4
282		6
283		4
284		4
285		10
286		13
287		4
288		5
289		7
290		4
291		4
292		4
293		4
294		4
295		4
296		4
297		17
298		4
299		4
300		5
301		4
302		5
303		4
304		5
305		4
306		3
307		4
308	1996	2
309	1996	2
310	2002	5
311	1998	4
312	1998	4
313	1997	6
314	1993	4
315	1992	5
316	1992	5
317	1990	4
318	1980	3
319	2007	2
320	1998	4
321	2005	7
322	2004	4
323	2000	3
324	1997	3
325	2006	6
326	2003	7
328	2000	3
329	2011	9
330	2006	2
331	2010	9
332	2008	10
333	2006	2
334		9
335		10
336		10
337		11
338		10
339		10
340		10
341		9
342		10
343		12
344		10
345		11
346		12
347		11
348		11
349		12
350		10
351		10
352		11
353		12
354		11
355		10
356		10
357		12
358		10
359		11
360		11
361		10
362		10
363		10
364		11
365		10
366		10
367		15
368		10
369		10
370		11
371		10
372		12
373		12
