id_phd	date_defense	spec	nb_jurys
1	30/09/2003	signal, image et accoustique	8
2	03/03/2003	physique des plasmas spatiaux	8
3	20/02/2003	physique des plasmas spatiaux	6
4	23/10/2003	sciences et techniques spatiales	6
5	20/10/2003	astrophysique	7
6	25/11/2003	planetologie - physique des plasmas spatiaux	7
7	02/12/2003	planétologie : physique des plasmas spatiaux	7
8	18/12/2003	instrumentation astrophysique	7
9	07/01/2004	astrophysique	6
10	23/01/2004	physique des plasmas spatiaux	6
11	20/09/2004	astrophysique	7
12	03/12/2004	genie électrique	5
13	10/12/2004	physique des plasmas spatiaux	6
14	07/03/2005	astrophysique	7
15	04/05/2005	astrophysique	6
16	13/07/2005	astrophysique	6
17	22/09/2005	instrumentation et astrophysique	6
18	29/09/2005	atmosphères planétaires	5
19	17/03/2006	electronique et instrumentation	6
20	07/11/2006	astrophysique et hautes énergies	6
21	18/12/2006	instrumentation spatiale et planétologie	8
22	08/03/2007	physique des plasmas spatiaux	8
23	10/05/2007	instrumentation spatiale et astrophysique	7
24	27/09/2007	astrochimie expérimentale	6
25	03/10/2007	atmosphères et magnétosphères planétaires	7
26	19/10/2007	physique des plasmas spatiaux	6
27	31/10/2007	astrophysique	7
28	18/12/2007	astrophysique des hautes énergies	6
29	29/01/2008	astrophysique des hautes énergies	6
30	01/04/2008	astrophysique- instrumentation	7
31	23/06/2008	astrophysique planétologie	7
32	03/10/2008	astrophysique	7
33	24/10/2008	astrophysique	6
34	27/11/2008	astrophysique	7
35	28/11/2008	astrophysique	7
