id_publi	date_publi	nb_authors
1	2004	45
2	2001	69
3	2006	10
4	2006	45
5	2006	4
6	2006	4
7	2005	4
8	2005	7
9	2005	5
10	2005	3
11	2004	4
12	2004	6
13	2004	6
14	2004	13
15	2004	5
16	2004	5
17	2004	3
18	2004	10
19	2003	5
20	2003	5
21	2003	5
22	2003	5
23	2003	12
24	2002	10
25	2002	8
26	2002	6
27	2002	6
28	2002	13
29	2002	12
30	2002	7
31	2002	13
32	2002	8
33	2002	10
34	2001	12
35	2001	7
36	2001	6
37	2001	9
38	2001	8
39	2001	14
40	2001	10
41	2001	10
42	2001	11
43	2000	10
44	2000	10
45	2000	19
46	1999	20
47	1999	30
48	1999	10
49	1999	13
50	1999	15
51	1998	20
52	1998	20
53	1993	8
54	2008	6
55	2006	10
56	2006	6
57	2005	7
58	2005	10
59	2005	19
60	2004	6
61	2003	14
62	2003	7
63	2003	7
64	2002	6
65	2002	14
66	2002	10
67	2002	7
68	2002	6
69	2002	9
70	2002	6
71	2001	7
72	2001	8
73	2001	8
74	2001	7
75	2001	6
76	2001	8
77	2000	5
78	2000	8
79	1999	6
80	1999	8
81	1992	10
82	1989	7
83	2009	50
84	2008	50
85	2001	2
86	2001	49
87	1992	16
88	1991	15
89	1991	16
90	1991	16
91	1991	10
92	2008	11
93	2008	10
94	2006	12
95	2006	11
96	2005	11
97	2005	11
98	2005	13
99	2005	13
100	2004	12
101	2004	15
102	2004	12
103	2004	16
104	2004	20
105	2004	12
106	2004	18
107	2004	9
108	2004	11
109	2004	8
110	2004	9
111	2003	14
112	2003	7
113	2003	8
114	2003	17
115	2003	11
116	2003	20
117	2003	14
118	2003	14
119	2003	25
120	2003	18
121	2002	18
122	2002	11
123	2002	22
124	2002	7
125	2002	19
126	2002	21
127	2002	17
128	2002	21
129	2002	15
130	2002	14
131	2002	9
132	2002	20
133	2002	9
134	2002	10
135	2001	18
136	2001	17
137	2001	20
138	2001	20
139	2001	21
140	2001	25
141	2001	14
142	2001	22
143	2001	38
144	2001	38
145	2001	25
146	2001	59
147	2001	21
148	2001	21
149	2001	21
150	2004	10
151	2004	9
152	2003	17
153	2001	30
154	2010	8
155	2009	14
156	2009	11
157	2008	5
158	2008	9
159	2008	13
160	2008	14
161	2008	9
162	2008	9
163	2007	9
164	2007	6
165	2007	9
166	2007	6
167	2007	8
168	2007	14
169	2006	8
170	2006	9
171	2006	15
172	2006	9
173	2006	10
174	2006	11
175	2006	10
176	2006	15
177	2006	13
178	2006	10
179	2006	6
180	2006	6
181	2006	15
182	2006	8
183	2006	6
184	2006	11
185	2006	9
186	2006	7
187	2006	9
188	2006	7
189	2006	14
190	2006	11
191	2006	13
192	2006	12
193	2006	9
194	2006	7
195	2006	10
196	2006	7
197	2006	10
198	2006	10
199	2006	10
200	2006	6
201	2006	11
202	2006	7
203	2006	14
204	2005	12
205	2005	10
206	2005	11
207	2005	12
208	2005	9
209	2005	8
210	2005	8
211	2005	4
212	2005	9
213	2005	8
214	2005	11
215	2005	11
216	2005	9
217	2005	7
218	2005	16
219	2005	12
220	2005	9
221	2005	11
222	2005	10
223	2005	14
224	2005	18
225	2005	10
226	2005	15
227	2005	10
228	2005	11
229	2005	10
230	2005	7
231	2005	9
232	2005	10
233	2005	4
234	2005	5
235	2005	9
236	2005	8
237	2005	10
238	2005	10
239	2005	9
240	2005	9
241	2005	11
242	2005	16
243	2005	10
244	2005	17
245	2005	10
246	2005	11
247	2005	7
248	2005	7
249	2005	12
250	2004	10
251	2004	13
252	2004	10
253	2004	10
254	2004	13
255	2004	9
256	2004	10
257	2004	12
258	2004	13
259	2004	5
260	2004	9
261	2004	9
262	2004	6
263	2004	11
264	2004	9
265	2004	9
266	2004	6
267	2004	8
268	2004	8
269	2004	6
270	2004	10
271	2004	12
272	2004	10
273	2004	12
274	2004	9
275	2004	10
276	2004	15
277	2004	5
278	2004	13
279	2004	8
280	2004	9
281	2004	10
282	2004	11
283	2004	13
284	2004	11
285	2004	5
286	2004	5
287	2004	16
288	2004	9
289	2004	12
