id_phd	date_defense	spec	nb_jurys
1	2007	Sciences economiques	6
2	2006	Sciences economiques	5
3	2003	Sciences economiques	5
4	2008	Sciences economiques	6
5	2005	Sciences economiques	6
6	2005	Sciences economiques	5
7	2004	Sciences economiques	5
8	2003	Sciences economiques	5
9	2007	Sciences economiques	4
10	2005	Sciences economiques	5
11	2004	Sciences economiques	5
12	2007	Sciences economiques	5
13	2008	Sciences economiques	5
14	2008	Sciences economiques	5
15	2004	Sciences economiques	6
16	2003	Sciences economiques	5
17	2006	Sciences economiques	5
18	2006	Sciences economiques	5
19	2008	Sciences economiques	5
20	2007	Sciences economiques	4
21	2007	Sciences economiques	6
22	2005	Sciences economiques	5
23	2006	Sciences economiques	5
24	2003	Sciences economiques	5
25	2003	Sciences economiques	5
26	2006	Sciences economiques	6
27	2005	Sciences economiques	4
28	2003	Sciences economiques	5
29	2008	Sciences economiques	4
30	2008	Sciences economiques	4
31	2007	Sciences economiques	4
32	2004	Sciences economiques	5
33	2007	Sciences economiques	6
34	2005	Sciences economiques	5
35	2007	Sciences economiques	4
36	2006	Sciences economiques	5
37	2006	Sciences economiques	5
38	2003	Sciences economiques	6
39	2005	Sciences economiques	5
40	2007	Sciences economiques	5
41	2006	Sciences economiques	6
42	2007	Sciences economiques	4
43	2005	Sciences economiques	5
44	2007	Sciences economiques	5
45	2007	Sciences economiques	4
46	2005	Sciences economiques	6
47	2003	Sciences economiques	6
48	2008	Sciences economiques	6
49	2003	Sciences economiques	6
50	2006	Sciences economiques	5
51	2006	Sciences economiques	6
52	2008	Sciences economiques	5
53	2003	Sciences economiques	6
54	2008	Sciences economiques	5
55	2005	Sciences economiques	6
56	2007	Sciences economiques	5
57	2006	Sciences economiques	5
58	2006	Sciences economiques	5
59	2008	Sciences economiques	4
60	2007	Sciences economiques	6
61	2004	Sciences economiques	6
62	2003	Sciences economiques	5
63	2006	Sciences economiques	5
64	2006	Sciences economiques	5
65	2008	Sciences economiques	5
