id_phd	id_jury	role_jury
1	3	Rapporteur
1	4	Membre
1	5	Directeur de thèse
1	6	Rapporteur
1	7	Président
1	8	Membre
2	9	Directeur de thèse
2	10	Membre
2	11	Rapporteur
2	12	Président
2	13	Rapporteur
3	14	Rapporteur
3	15	Directeur de thèse
3	16	Membre
3	17	Rapporteur
3	18	Président
4	9	Directeur de thèse
4	10	Membre
4	19	Membre
4	20	Rapporteur
4	21	Rapporteur
4	22	Président
5	8	Directeur de thèse
5	23	Rapporteur
5	24	Président
5	25	Rapporteur
5	26	Membre
5	27	Membre
6	28	Directeur de thèse
6	29	Membre
6	30	Rapporteur
6	31	Rapporteur
6	32	Président
7	7	Président
7	38	Rapporteur
7	39	Membre
7	40	Directeur de thèse
7	41	Rapporteur
8	28	Président
8	32	Directeur de thèse
8	35	Rapporteur
8	42	Membre
8	43	Rapporteur
9	5	Président
9	9	Directeur de thèse
9	44	Rapporteur
9	45	Rapporteur
10	5	Directeur de thèse
10	32	Membre
10	46	Président
10	47	Rapporteur
10	48	Rapporteur
11	8	Président
11	16	Directeur de thèse
11	49	Membre
11	50	Rapporteur
11	51	Rapporteur
12	37	Membre
12	46	Directeur de thèse
12	52	Rapporteur
12	53	Rapporteur
12	54	Président
13	5	Directeur de thèse
13	32	Membre
13	36	Président
13	56	Rapporteur
13	57	Rapporteur
14	15	Directeur de thèse
14	58	Rapporteur
14	59	Membre
14	60	Président
14	61	Rapporteur
15	7	Président
15	62	Rapporteur
15	63	Membre
15	64	Membre
15	65	Directeur de thèse
15	66	Rapporteur
16	67	Président
16	68	Membre
16	69	Rapporteur
16	70	Directeur de thèse
16	71	Rapporteur
17	5	Membre
17	7	Directeur de thèse
17	36	Président
17	72	Rapporteur
17	73	Rapporteur
18	28	Membre
18	32	Directeur de thèse
18	35	Rapporteur
18	74	Rapporteur
18	75	Président
19	19	Président
19	36	Co-directeur de thèse
19	76	Rapporteur
19	77	Co-directeur de thèse
19	78	Rapporteur
20	2	Directeur de thèse
20	69	Rapporteur
20	79	Rapporteur
20	80	Président
21	9	Directeur de thèse
21	10	Membre
21	19	Membre
21	22	Président
21	81	Rapporteur
21	82	Rapporteur
22	5	Président
22	7	Membre
22	36	Directeur de thèse
22	83	Rapporteur
22	84	Rapporteur
23	7	Membre
23	33	Président
23	36	Directeur de thèse
23	86	Rapporteur
23	87	Rapporteur
24	7	Président
24	39	Directeur de thèse
24	88	Rapporteur
24	89	Membre
24	90	Rapporteur
25	5	Directeur de thèse
25	28	Président
25	36	Membre
