id_publi	id_jury
1	67
1	144
1	145
2	67
2	144
2	145
3	67
3	144
3	145
4	67
4	144
4	145
5	67
5	144
5	145
6	33
6	133
7	33
7	133
8	34
8	77
9	34
9	77
10	34
10	77
11	15
11	58
12	1
12	97
13	46
13	94
14	46
14	94
15	24
15	46
15	94
16	24
16	46
16	94
17	46
17	53
18	46
18	53
19	46
19	53
20	16
20	46
21	16
21	46
22	37
22	46
23	37
23	46
24	36
24	83
25	36
25	83
26	9
26	158
27	9
27	158
28	9
28	158
29	24
29	94
30	8
30	49
31	7
31	35
32	32
32	35
33	5
33	35
34	7
34	32
34	35
35	5
35	35
36	32
36	35
37	5
37	35
38	5
38	35
39	5
39	35
40	5
40	35
41	5
41	35
42	5
42	35
43	7
43	35
44	32
44	35
45	5
45	35
46	5
46	35
47	32
47	35
48	10
48	19
49	9
49	19
49	21
50	9
50	19
50	21
51	19
51	21
52	9
52	19
52	21
53	9
53	10
53	19
54	9
54	19
54	21
55	9
55	19
55	21
56	19
56	21
57	9
57	19
57	21
58	62
58	65
59	62
59	65
60	62
60	65
61	62
61	65
62	15
62	96
63	15
63	96
64	15
64	96
65	15
65	96
66	15
66	96
67	15
67	96
68	15
68	96
69	15
69	96
70	15
70	18
70	96
71	15
71	96
72	15
72	96
73	15
73	96
74	15
74	96
75	86
75	87
76	86
76	87
77	86
77	87
78	86
78	87
79	7
79	86
80	28
80	43
81	28
81	43
82	28
82	29
83	28
83	29
84	5
84	28
85	4
85	5
85	28
86	9
86	10
86	36
87	9
87	10
87	36
88	9
88	36
89	9
89	36
90	9
90	36
91	9
91	10
92	9
92	10
93	9
93	10
94	9
94	10
95	9
95	10
95	21
96	9
96	10
97	9
97	10
98	9
98	10
98	21
99	9
99	10
100	9
100	10
100	21
101	9
101	10
102	9
102	10
102	21
103	9
103	10
103	21
104	9
104	10
104	21
105	9
105	10
106	9
106	10
107	9
107	10
108	9
108	10
108	21
109	9
109	10
110	9
110	10
110	21
111	9
111	127
112	9
112	21
112	103
113	9
113	21
113	103
114	9
114	21
114	103
115	9
115	21
115	103
116	9
116	21
116	103
117	9
117	21
117	103
118	9
118	21
118	103
119	9
119	21
119	103
120	9
120	21
120	103
121	9
121	21
121	103
122	9
122	103
123	9
123	103
124	9
124	103
125	8
125	9
125	21
126	8
126	9
126	21
127	9
127	21
127	22
128	9
128	21
129	9
129	21
130	9
130	21
131	9
131	21
132	9
132	21
133	9
133	21
134	9
134	21
135	9
135	21
136	9
136	21
137	9
137	21
138	9
138	21
139	9
139	21
140	9
140	21
141	9
141	21
142	9
142	21
143	9
143	21
144	9
144	21
145	9
145	21
146	9
146	21
147	9
147	21
148	9
148	21
149	9
149	21
150	9
150	21
151	9
151	21
152	9
152	21
153	9
153	21
154	9
154	21
155	9
155	21
156	9
156	21
157	9
157	21
158	9
158	21
159	9
159	21
160	36
160	85
161	36
161	85
162	36
162	113
163	36
163	113
164	7
164	32
164	36
165	36
165	113
166	36
166	113
167	36
167	113
168	36
168	113
169	10
169	12
170	10
170	12
171	10
171	12
172	10
172	12
173	10
173	103
174	10
174	103
175	8
175	24
176	8
176	24
176	27
176	37
177	8
177	24
178	24
178	27
179	24
179	27
180	24
180	27
181	24
181	27
181	37
182	32
182	134
183	32
183	134
184	32
184	134
185	32
185	134
186	39
186	80
186	98
187	39
187	98
188	39
188	98
189	39
189	98
190	80
190	98
192	15
192	60
193	15
193	60
194	15
194	60
195	15
195	60
196	15
196	60
197	15
197	60
198	15
198	60
199	15
199	60
200	15
200	60
201	16
201	50
202	16
202	50
203	16
203	50
204	16
204	50
205	16
205	50
206	16
206	50
207	16
207	50
208	16
208	50
209	16
209	50
210	16
210	50
211	16
211	50
212	16
212	50
213	16
213	50
214	16
214	50
215	16
215	50
216	16
216	50
217	16
217	50
218	16
218	50
219	16
