id_publi	id_phd
24	3
64	3
65	3
95	3
98	3
100	3
102	3
103	3
108	3
110	3
188	6
189	6
234	6
238	6
411	6
412	10
413	10
414	13
415	14
416	14
417	15
418	15
419	16
420	17
421	17
422	19
423	22
424	25
425	25
426	25
427	26
428	26
429	30
430	30
431	33
432	33
433	33
434	33
435	33
436	33
436	34
437	37
438	38
439	39
444	39
445	39
446	39
447	39
448	39
449	39
450	39
451	39
452	41
453	43
454	43
455	43
456	43
457	43
458	46
459	51
460	51
461	51
462	53
463	53
464	53
465	55
466	55
467	55
468	55
469	55
470	55
471	57
472	57
473	57
474	60
475	60
476	60
477	60
478	60
479	61
480	61
481	61
482	63
483	63
484	63
485	63
486	64
487	44
