id_publi	date_publi	nb_authors
1	2008	3
2	1999	3
3	1997	3
4	1998	3
5	2008	3
6	2006	3
7	2006	3
8	1999	3
9	2002	3
10	2012	3
11	2007	3
12	1999	3
13	1999	3
14	2006	3
15	1997	3
16	2000	3
17	1993	2
18	1995	3
19	1998	3
20	1994	2
21	1997	2
22	2005	2
23	2008	2
24	2010	3
25	2011	3
26	2002	4
27	2008	4
28	2003	4
29	2009	3
30	2004	2
31	1992	3
32	2007	2
33	2001	2
34	1987	4
35	1999	2
36	2001	2
37	2001	2
38	1990	3
39	1991	3
40	1991	2
41	1994	3
42	1994	3
43	1994	2
44	2002	2
45	2000	3
46	1996	3
47	1999	2
48	2005	2
49	2000	3
50	2004	3
51	1999	2
52	2003	3
53	2008	3
54	1998	3
55	1999	3
56	1999	2
57	2001	3
58	2001	4
59	2001	4
60	2002	4
61	2002	4
62	1998	4
63	1999	3
64	2006	3
65	2003	3
66	2007	3
67	2001	3
68	1997	3
69	1999	4
70	2005	3
71	2001	3
72	2005	3
73	2002	3
74	2001	2
75	2003	2
76	2008	2
77	2009	2
78	2010	2
79	2002	3
80	2006	3
81	2003	2
82	1997	2
83	1996	2
84	2008	4
85	2006	3
86	2007	3
87	2006	3
88	1993	2
89	1994	2
90	1992	2
91	2003	3
92	2008	4
93	2009	4
94	2010	4
95	2009	4
96	2004	3
97	2004	3
98	2007	4
99	2008	3
100	2008	4
101	2007	5
102	2008	4
103	2008	4
104	2009	3
105	2011	3
106	2011	6
107	2007	3
108	2011	4
109	2012	4
110	2010	4
111	2003	3
112	2004	3
113	2004	3
114	2004	3
115	2006	3
116	2006	3
117	2007	3
118	2007	3
119	2004	3
120	2009	3
121	2005	3
122	2009	3
123	2010	3
124	2011	3
125	2001	3
126	2003	3
127	2005	4
128	1995	2
129	2004	3
130	2011	3
131	2003	2
132	2009	3
133	2009	2
134	2006	2
135	2003	2
136	2003	2
137	2003	2
138	1988	3
139	2003	3
140	2006	2
141	1985	2
142	1986	2
143	1987	2
144	1989	3
145	1991	3
146	1994	3
147	1996	2
148	1996	2
149	1998	2
150	2001	3
151	2004	2
152	2010	2
153	2010	2
154	2010	3
155	2011	2
156	1996	2
157	1998	2
158	1993	2
159	2010	2
160	2003	2
161	2002	2
162	2000	2
163	1997	2
164	2000	3
165	1994	2
166	2003	2
167	2001	2
168	2006	2
169	2000	3
170	1996	3
171	2010	3
172	2009	3
173	2009	3
174	2009	3
175	2003	3
176	2008	4
177	1997	2
178	2005	2
179	2003	2
180	2011	2
181	2005	3
182	1993	2
183	1994	2
184	1996	2
185	1992	2
186	2008	3
187	2006	11
188	2006	3
189	2007	3
190	2006	3
191	2009	4
192	2008	2
193	2009	2
194	2005	3
195	2008	2
196	2007	3
197	2007	3
198	2009	2
199	2004	2
200	2007	3
201	1994	3
202	1994	3
203	2001	3
204	2005	3
205	1996	3
206	1993	3
207	1995	3
208	1991	3
209	1993	3
210	1997	4
211	1994	2
212	2001	2
213	1997	2
214	1996	2
215	1998	2
216	2005	2
217	1995	2
218	1997	3
219	2001	3
220	1996	3
221	1995	4
222	2008	4
223	2002	4
224	1996	3
225	2008	3
226		2
227	1996	3
228	1996	3
229	1998	3
230	1974	3
231	1981	3
232	1987	3
233	2001	2
234	2003	3
235	2011	3
236	2010	3
237	2009	3
238	2011	3
239	2010	2
240		2
241		2
242		2
243		2
244	2002	2
245	2010	4
246	2006	2
247	1993	3
248	1994	3
249	2007	2
250	2004	2
251	1992	2
252	1992	2
253	1992	2
254	1992	4
255	1996	3
256	1994	2
257	2001	3
258	1997	3
259	2003	5
260	2003	5
261	2003	2
262	2001	2
263	2005	2
264	2005	2
265	2009	3
266	2009	3
267	2010	3
268	2012	3
269	1998	3
270	2006	4
271	2007	3
272	2005	2
273	1997	2
274	1994	2
275	1998	3
276	2007	2
277	2006	2
278	2008	2
279	2008	2
280	2005	2
281	1998	2
282	1994	2
283	1995	2
284	1996	2
285	1998	2
286	1999	2
287	1997	2
288	2003	3
289	2003	3
290	2000	3
291	1999	3
292	2003	3
293	1998	3
294	1998	3
295	1997	3
296	2003	4
297	2003	2
298	1985	2
299	1985	2
300	1988	2
301	1988	2
302	1989	2
303	1991	2
304	1991	2
305	1994	2
306	1994	2
307	1994	2
308	1990	2
309	1988	2
310	1993	2
311	2001	2
312	1986	2
313	1987	2
314	1993	2
315	1990	2
316	1990	2
317	1991	2
318	1987	2
319	1992	2
320	1994	2
321	1990	2
322	1986	2
323	2001	3
324	1992	2
325	1997	2
326	2010	4
327	2010	4
328	2008	4
329	2007	4
330	2004	3
331	2003	3
332	2003	3
333	2003	3
334	2006	3
335	2006	3
336	2005	4
337	2002	3
338	1997	3
339	1997	3
340	1998	3
341	1999	3
342	1997	3
343	2010	4
344	2003	2
345	2001	2
346	2004	2
347	2003	2
348	2006	3
349	1991	2
350	1991	3
351	1992	2
352	1990	2
353	1995	3
354	2009	2
355	2011	2
356	1997	2
357	2008	3
358	2008	4
359	2006	4
360	2006	4
361	2002	2
362	2002	3
363	2005	3
364	1998	4
365	1996	3
366	1999	2
367	2002	2
368	2002	2
369	2004	3
370	2009	4
371	2011	2
372	2011	2
373	2011	2
374	2009	2
375	2009	2
376	2009	2
377	2003	2
378	2001	2
379	2001	2
380	2005	3
381	1999	3
382	2003	3
383	2005	7
384	2007	2
385	1987	4
386	1989	4
387	1990	2
388	1996	2
389	2007	2
390	2005	2
391	1985	2
392	1985	2
393	2001	2
394	2000	2
395	1997	2
396	1986	2
397	2005	2
398	2003	2
399	2007	2
400	2008	2
401	2007	2
402	1999	2
403	1996	2
404	1996	2
405	2007	2
406	2003	2
407	2006	2
408	2004	2
409	2005	2
410	2002	3
411	2008	2
412	2008	2
413	2004	2
414	2003	2
415	2003	2
416	2001	3
417	2005	3
418	2002	3
419	2005	2
420	2003	2
421	2000	4
422	2005	2
423	2010	3
424	2001	3
425	2000	4
426	2007	2
427	2011	2
428	2011	2
429	2007	3
430	2004	2
431	2004	3
432	2005	2
433	2003	3
434	2010	2
435	2012	2
436	2010	3
437	2004	2
438	2004	2
439	2001	2
440	2009	3
441	2010	4
442	2009	4
443	2005	2
444	2009	3
445	2008	3
446	2008	3
447	2009	3
448	2010	2
449	2011	2
450	2011	3
451	2005	2
452	2004	2
453	2011	2
454	2009	2
455	2009	2
456	2010	4
457	2003	3
458	2008	4
459	2008	3
460	2008	2
461	2008	3
462	2006	3
463	2009	2
464	2009	2
465	2003	2
466	2009	2
467	2008	2
468	2008	2
469	2004	2
470	2006	2
471	2007	2
472	2007	2
473	2008	3
474	2006	3
475	2010	3
476	2005	2
477	2005	2
478	2007	2
479	2005	2
480	2005	2
481	2007	2
482	2009	2
483	2007	2
484	2007	2
485	2011	3
486	2008	2
487	NA	NA
